date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:20:11	36433/36433	---MCZ	200	added ('OK')	text/html	date:Wed,%2013%20Sep%202023%2008:20:10%20GMT	https://www.moon-erc.com/	C:/Users/phong.SSS/Desktop/Resource/Web3Demo/www.moon-erc.com/index.html	(from )
15:20:11	22/22	---M--	200	added ('OK')	text/plain	date:Wed,%2013%20Sep%202023%2008:20:10%20GMT	https://www.moon-erc.com/robots.txt		(from )
15:20:11	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2013%20Sep%202023%2008:20:11%20GMT	https://static.ladipage.net/5b52e9ea61c3fe3313704bb1/z4599848212026_1c09c726df901a0fb372737ce21d1f78-20230813082611-p0tv7.jpg	C:/Users/phong.SSS/Desktop/Resource/Web3Demo/static.ladipage.net/5b52e9ea61c3fe3313704bb1/z4599848212026_1c09c726df901a0fb372737ce21d1f78-20230813082611-p0tv7.0.delayed	(from https://www.moon-erc.com/)
15:20:11	45500/45500	---MCZ	200	added ('OK')	image/jpeg	date:Wed,%2013%20Sep%202023%2008:20:11%20GMT	https://w.ladicdn.com:443/5b52e9ea61c3fe3313704bb1/z4599848212026_1c09c726df901a0fb372737ce21d1f78-20230813082611-p0tv7.jpg	C:/Users/phong.SSS/Desktop/Resource/Web3Demo/w.ladicdn.com_443/5b52e9ea61c3fe3313704bb1/z4599848212026_1c09c726df901a0fb372737ce21d1f78-20230813082611-p0tv7.jpg	(from https://www.moon-erc.com/)
15:20:12	387344/387344	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2013%20Sep%202023%2008:20:12%20GMT	https://w.ladicdn.com/v2/source/ladipagev3.min.js?v=1694171478371	C:/Users/phong.SSS/Desktop/Resource/Web3Demo/w.ladicdn.com/v2/source/ladipagev3.min53c8.js	(from https://www.moon-erc.com/)
15:20:12	27961/27961	---MCZ	200	added ('OK')	image/jpeg	date:Wed,%2013%20Sep%202023%2008:20:12%20GMT	https://w.ladicdn.com/s450x450/5b52e9ea61c3fe3313704bb1/z4599848212026_1c09c726df901a0fb372737ce21d1f78-20230813082611-p0tv7.jpg	C:/Users/phong.SSS/Desktop/Resource/Web3Demo/w.ladicdn.com/s450x450/5b52e9ea61c3fe3313704bb1/z4599848212026_1c09c726df901a0fb372737ce21d1f78-20230813082611-p0tv7.jpg	(from https://www.moon-erc.com/)
15:20:12	112675/112675	---MCZ	200	added ('OK')	image/jpeg	date:Wed,%2013%20Sep%202023%2008:20:12%20GMT	https://w.ladicdn.com/s1440x775/5b52e9ea61c3fe3313704bb1/wallpapersdencom_touching-the-moon_1920x1080dhn-20230813070002-rrcve.jpg	C:/Users/phong.SSS/Desktop/Resource/Web3Demo/w.ladicdn.com/s1440x775/5b52e9ea61c3fe3313704bb1/wallpapersdencom_touching-the-moon_1920x1080dhn-20230813070002-rrcve.jpg	(from https://www.moon-erc.com/)
15:20:12	123590/123590	---MCZ	200	added ('OK')	image/jpeg	date:Wed,%2013%20Sep%202023%2008:20:12%20GMT	https://w.ladicdn.com/s800x800/5b52e9ea61c3fe3313704bb1/img_20230908_204821-20230908135025-kbmml.jpg	C:/Users/phong.SSS/Desktop/Resource/Web3Demo/w.ladicdn.com/s800x800/5b52e9ea61c3fe3313704bb1/img_20230908_204821-20230908135025-kbmml.jpg	(from https://www.moon-erc.com/)
15:20:13	27409/27409	---MCZ	200	added ('OK')	image/jpeg	date:Wed,%2013%20Sep%202023%2008:20:13%20GMT	https://w.ladicdn.com/s450x500/5b52e9ea61c3fe3313704bb1/z4599848207721_22f8b41b8c85709b5e77845e9cb53ea7-20230813082611-vlmu6.jpg	C:/Users/phong.SSS/Desktop/Resource/Web3Demo/w.ladicdn.com/s450x500/5b52e9ea61c3fe3313704bb1/z4599848207721_22f8b41b8c85709b5e77845e9cb53ea7-20230813082611-vlmu6.jpg	(from https://www.moon-erc.com/)
15:20:13	144482/144482	---MCZ	200	added ('OK')	image/jpeg	date:Wed,%2013%20Sep%202023%2008:20:13%20GMT	https://w.ladicdn.com/s1440x581/5b52e9ea61c3fe3313704bb1/blue-moon-5n9b0a9j6zto72gb-20230813065949-opuuk.jpg	C:/Users/phong.SSS/Desktop/Resource/Web3Demo/w.ladicdn.com/s1440x581/5b52e9ea61c3fe3313704bb1/blue-moon-5n9b0a9j6zto72gb-20230813065949-opuuk.jpg	(from https://www.moon-erc.com/)
15:20:13	30219/30219	---MCZ	200	added ('OK')	image/jpeg	date:Wed,%2013%20Sep%202023%2008:20:13%20GMT	https://w.ladicdn.com/s450x500/5b52e9ea61c3fe3313704bb1/z4599848225317_64040cc0b0e1688fcad900ee9eb5374a-20230813082611-ue8hy.jpg	C:/Users/phong.SSS/Desktop/Resource/Web3Demo/w.ladicdn.com/s450x500/5b52e9ea61c3fe3313704bb1/z4599848225317_64040cc0b0e1688fcad900ee9eb5374a-20230813082611-ue8hy.jpg	(from https://www.moon-erc.com/)
